USA;United States;165427090
CHN;China;127035376
KOR;Korea, Republic of;99904605
SWE;Sweden;40011972
DNK;Denmark;39609229
FRA;France;32621027
RUS;Russian Federation;31139007
CAN;Canada;29873091
DEU;Germany;29008052
FIN;Finland;26269125
GBR;United Kingdom;23192694
BRA;Brazil;22308144
AUS;Australia;18218456
UKR;Ukraine;16600569
POL;Poland;15057102
TWN;Taiwan, Republic of;12235319
JPN;Japan;10697051
NLD;Netherlands;10307609
MYS;Malaysia;10263513
PHL;Philippines;9039836
NOR;Norway;8551531
THA;Thailand;8141558
BGR;Bulgaria;7979555
JOR;Jordan;6816906
ESP;Spain;6690313
VNM;Viet Nam;4751742
LBN;Lebanon;4467585
TUR;Turkey;4408552
PAK;Pakistan;4321837
EST;Estonia;4226763
AUT;Austria;3949509
SGP;Singapore;3933302
ARG;Argentina;3828150
ROU;Romania;3720056
ITA;Italy;3650439
ISR;Israel;3471858
BEL;Belgium;3327065
HKG;Hong Kong;3160220
MEX;Mexico;2982098
KAZ;Kazakhstan;2868810
IDN;Indonesia;2712964
CZE;Czech Republic;2671262
SAU;Saudi Arabia;2570690
BLR;Belarus;2399602
PER;Peru;2396587
SVK;Slovakia;2169438
CHE;Switzerland;1828872
PRT;Portugal;1790063
GRC;Greece;1767980
MAC;Macao;1583511
NZL;New Zealand;1561816
LTU;Lithuania;1240053
SVN;Slovenia;1190350
BIH;Bosnia and Herzegovina;1169045
MKD;Macedonia, The Former Yugoslav Republic of;1142826
CHL;Chile;1105297
HRV;Croatia;1084631
HUN;Hungary;1083067
SRB;Serbia;1029757
ZAF;South Africa;970373
LVA;Latvia;968605
IND;India;964439
IRL;Ireland;824712
UZB;Uzbekistan;665682
MNG;Mongolia;560428
KGZ;Kyrgyzstan;492843
DOM;Dominican Republic;438139
COL;Colombia;390282
ARE;United Arab Emirates;344930
ARM;Armenia;340283
URY;Uruguay;305496
PRI;Puerto Rico;284497
BOL;Bolivia;283171
MDA;Moldova, Republic of;272798
TUN;Tunisia;225975
IRN;Iran, Islamic Republic of;209404
ISL;Iceland;179581
AZE;Azerbaijan;173904
VEN;Venezuela;167643
EGY;Egypt;165020
MAR;Morocco;156179
MNE;Montenegro;152671
IRQ;Iraq;145933
MLT;Malta;145118
AFG;Afghanistan;144724
KWT;Kuwait;104905
CUB;Cuba;94216
GEO;Georgia;90125
DZA;Algeria;89534
ALB;Albania;86571
BHR;Bahrain;75607
CRI;Costa Rica;73413
LUX;Luxembourg;49598
SYR;Syrian Arab Republic;49553
KHM;Cambodia;43146
PAN;Panama;43046
KOS;Kosovo, Republic of;42286
LAO;Lao People's Democratic Republic;39225
GTM;Guatemala;36621
NPL;Nepal;35154
NIC;Nicaragua;30938
BGD;Bangladesh;30610
ECU;Ecuador;29655
QAT;Qatar;24192
ETH;Ethiopia;23669
OMN;Oman;20970
PSX;Palestinian Territory, Occupied;20836
MMR;Myanmar;19773
LKA;Sri Lanka;16669
PRY;Paraguay;13679
FRO;Faroe Islands;9525
GRL;Greenland;8825
SLV;El Salvador;6709
BRN;Brunei Darussalam;6636
MUS;Mauritius;5355
YEM;Yemen;3840
NCL;New Caledonia;3412
FLK;Falkland Islands;2987
GHA;Ghana;2808
MCO;Monaco;2301
HND;Honduras;1836
ZMB;Zambia;1635
KEN;Kenya;1632
CYP;Cyprus;1577
TTO;Trinidad and Tobago;1138
AND;Andorra;940
SEN;Senegal;750
GUY;Guyana;700
MDG;Madagascar;458
JAM;Jamaica;377
MNP;Northern Mariana Islands;300
BHS;Bahamas;263
BLZ;Belize;250
PYF;French Polynesia;245
TKM;Turkmenistan;220
BMU;Bermuda;200
MDV;Maldives;121
GGY;Guernsey;100
IMN;Isle of Man;75
JEY;Jersey;60
LIE;Liechtenstein;56
SUR;Suriname;56
MAF;Saint Martin;50
KNA;Saint Kitts and Nevis;20
ABW;Aruba;14
BLM;Saint-Barthélemy;7
